Tree,Height,Size,Average Node Depth,Average Time,No. of operations
BST Tree,451,950,199.815,0.007303,1000
BST Tree,951,1610,352.394,0.011956,2000
BST Tree,1451,2110,553.367,0.0176473,3000
BST Tree,1951,2610,773.124,0.0231883,4000
BST Tree,2451,3110,1002.61,0.0290026,5000
BST Tree,2951,3610,1237.77,0.0357638,6000
BST Tree,3451,4110,1476.55,0.0423043,7000
BST Tree,3951,4610,1717.76,0.049194,8000
BST Tree,4451,5110,1960.69,0.0556061,9000
BST Tree,4951,5610,2204.88,0.0613179,10000
,,,,,
AVL Tree,10,950,8.03684,0.001014,1000
AVL Tree,10,1610,8.76149,0.0010855,2000
AVL Tree,11,2110,9.28057,0.00106733,3000
AVL Tree,11,2610,9.6023,0.00109075,4000
AVL Tree,11,3110,9.73183,0.0010806,5000
AVL Tree,11,3610,9.88532,0.00111983,6000
AVL Tree,12,4110,10.1416,0.00113943,7000
AVL Tree,12,4610,10.3482,0.0011675,8000
AVL Tree,12,5110,10.4634,0.00118333,9000
AVL Tree,12,5610,10.5964,0.001156,10000